,sentiment
21452,2
12993,1
23301,2
18560,2
4423,2
24250,1
8818,1
1635,2
22073,2
19932,1
19465,2
8615,2
2442,2
6611,2
17392,1
16993,2
7124,2
719,2
19421,1
14275,1
13461,2
23903,1
6970,1
18717,2
2689,1
2147,1
13873,1
16255,1
21557,2
3463,2
8489,2
6640,1
21485,2
9959,1
23707,2
2561,1
13450,2
1905,2
11004,2
18552,2
22579,1
21885,2
9090,1
4086,1
17863,1
17905,1
23989,2
4186,2
21919,2
770,2
9250,2
15017,1
4753,1
526,2
10690,1
2175,2
11310,2
1364,1
13511,1
13055,1
12524,1
1941,1
4605,1
22969,2
6882,1
16533,2
9116,2
14075,2
8643,1
19016,1
24206,1
1404,1
16338,2
20190,1
1101,1
23930,1
20306,1
18463,1
19202,2
23831,1
11863,2
22206,2
8607,1
5020,2
522,2
19799,1
23702,2
13720,2
4647,2
12601,2
9037,1
21781,1
17038,1
21504,1
2420,2
19519,1
4593,2
24187,2
5448,2
10597,1
21844,1
13494,1
15984,2
7919,1
23751,1
2625,2
13752,2
8583,2
20866,2
19999,2
5546,1
23310,1
4311,1
16812,2
23525,2
8827,1
21888,2
1998,1
11698,1
10105,1
3792,2
15045,1
2198,1
11042,2
21008,1
23491,1
23303,2
9179,2
21398,2
24158,2
8473,2
7403,1
12802,1
17451,2
5904,2
19048,2
6644,1
1712,2
361,2
23529,1
2384,2
16195,2
24429,1
13707,2
13463,1
17377,1
17479,2
13646,1
7283,2
985,2
4625,2
4495,1
16588,2
12830,2
8118,2
9254,2
14742,2
14873,2
18014,1
15377,2
16990,1
12160,2
902,2
11130,1
10618,1
23428,1
19713,2
265,1
13600,1
14400,1
12726,2
14956,1
21002,2
17570,1
14150,2
15569,1
567,1
9753,1
2118,2
18212,1
1621,2
607,2
15116,2
16389,2
15020,1
15548,2
24727,1
14030,2
11981,2
10357,2
540,2
18477,1
21713,2
13622,1
7498,2
14627,1
14158,1
23276,1
22811,1
11800,2
1864,2
13912,2
628,2
19715,2
17554,2
8315,1
8375,2
23282,1
3046,1
11278,1
12920,2
11976,1
15752,1
5021,1
1064,2
8339,1
1298,2
22085,2
20682,1
20196,2
7066,2
14423,2
19923,2
13792,1
2468,2
19276,2
8337,1
3351,2
24113,1
20390,1
4824,2
9576,1
4992,2
644,1
9154,1
16991,1
18274,2
2837,2
10193,2
6309,2
22278,1
3727,2
17718,1
2969,1
5428,2
4725,1
13652,2
1860,1
7452,2
5884,1
1233,1
8350,1
14265,2
100,2
20327,1
5057,2
17212,1
23983,2
5352,1
6895,1
9678,1
1534,1
24753,2
9140,1
10650,2
16874,2
11749,2
20537,2
20518,1
22847,2
17043,1
21060,2
21378,1
19007,2
14287,2
14738,1
19320,1
14148,1
16793,1
2958,2
14036,1
9497,1
10474,1
6693,2
11735,1
15758,1
14704,1
20950,2
650,1
11380,2
1376,2
22058,2
22724,2
13378,2
1359,2
21968,2
24481,1
11743,2
19332,1
12035,2
16975,1
9935,1
1777,1
5163,1
8388,2
18358,2
8907,2
19287,1
12557,1
18363,1
6171,2
903,1
6166,2
9282,2
6908,2
8142,2
6431,1
21606,1
15860,1
20095,2
12339,2
1816,2
18448,2
2231,2
6174,2
7580,2
16748,2
1220,2
6558,2
16150,2
11337,2
106,2
15166,1
10500,2
9739,1
9602,2
4082,2
17667,1
16906,1
22659,2
21297,2
13965,2
2116,2
4009,2
12395,1
16211,2
11177,1
905,1
528,1
14855,2
21361,2
21990,2
12724,2
14165,2
16674,2
2753,2
23868,1
17896,2
2489,1
4240,1
24720,2
17521,2
14095,1
3222,2
21828,2
3534,1
1656,2
1071,2
13617,1
2360,2
8082,2
10485,2
19305,2
4850,2
10981,2
7997,1
17057,1
14299,2
9769,1
1879,2
7578,1
4949,1
12654,2
20009,1
13533,1
5603,2
18671,2
580,2
9972,2
5150,1
12906,1
21196,2
2102,2
14607,2
23184,2
21537,2
13575,2
12239,2
3909,2
16972,2
15772,1
11731,1
12749,2
9114,1
13778,1
20586,1
2258,2
24434,1
23013,2
5734,2
76,1
13348,2
2802,2
4774,2
19680,2
6985,1
17260,1
20637,1
14876,2
6595,2
16869,1
3786,2
23269,2
11113,2
19668,2
3507,2
13306,1
1963,2
24120,1
13923,2
23782,1
6674,1
23648,1
259,1
11217,2
21986,1
3572,1
16014,1
7832,2
15346,1
3553,2
7115,1
12310,2
11726,2
3510,1
7388,1
5439,1
14420,1
23915,2
24134,1
8289,2
15023,1
22723,2
3261,1
16627,2
3873,2
10182,2
4001,1
1748,2
9819,2
3867,1
2542,1
18062,2
18644,2
13424,1
14878,2
941,2
1009,2
23630,1
3163,1
10520,1
16810,1
3167,1
6065,1
3309,1
21677,1
5640,1
17652,1
1851,1
22982,1
17406,1
4210,2
24547,2
23535,1
8215,1
22062,1
3403,1
18744,2
15,2
15965,2
2512,1
16675,1
17370,2
22292,2
8352,1
21938,2
16909,1
1014,1
6114,2
23714,2
222,2
20763,1
577,1
9096,1
13608,1
1117,1
7286,2
11222,2
15971,2
18526,1
5591,1
12436,2
8919,2
19326,1
22173,2
13948,1
13782,1
14300,1
2401,2
11023,1
20709,2
19561,1
8154,2
19722,2
20102,1
18614,1
4408,2
12849,2
1992,2
4538,2
15042,2
1775,1
710,2
23890,2
769,2
22429,2
2149,1
5628,2
19673,1
5480,2
24111,2
1180,1
5407,2
23007,1
24444,1
9159,2
3246,1
3908,2
5733,2
22221,2
17869,1
20001,1
20170,1
5934,1
8490,2
6499,2
13615,2
9719,2
20806,2
9927,1
5067,2
21534,1
17858,1
15101,2
23324,2
4075,1
17872,2
1521,1
17403,1
24310,2
21469,1
1798,2
5798,1
13007,2
24615,1
2600,1
16132,1
22504,2
20809,1
17304,2
21625,1
10663,1
19004,1
9676,1
16538,2
23851,2
6487,1
14711,1
22004,2
14975,1
14247,2
19244,1
10746,1
19217,1
3886,1
14505,1
15527,1
3613,1
5400,2
3349,1
16356,2
18616,1
17478,1
23087,1
13737,2
20237,1
16363,1
12652,2
14520,1
15311,2
20621,1
4802,1
13919,2
653,2
20057,2
4989,2
15816,2
1856,2
9594,2
6189,2
15528,1
4468,1
21827,1
11532,1
16456,2
7567,2
3084,2
24745,2
14421,2
3069,2
15156,2
23039,2
17771,2
18558,1
21729,1
13674,2
2156,1
3684,2
7544,2
16176,1
12888,1
4660,2
14263,1
11148,1
21410,2
9232,1
8555,2
23182,1
15761,1
13710,2
14294,1
713,1
6946,1
354,1
5822,1
1951,1
12215,1
22210,2
5467,2
9209,2
14306,2
19076,2
6573,2
16738,2
19828,1
14570,1
17255,1
21077,1
1047,1
12512,1
4005,2
20570,1
13997,2
9592,2
20757,2
10899,2
18967,2
1594,2
400,2
11206,2
22719,1
17356,2
14195,2
16404,2
9383,1
23179,2
8003,2
2421,1
21381,1
19006,1
11772,1
16808,1
1440,2
13777,2
20367,2
23347,2
1319,1
18549,1
5433,2
5085,1
13885,2
8815,1
10732,2
11560,2
18022,2
16754,2
24524,2
17415,1
10673,1
3693,2
15554,2
1615,2
15897,1
11945,1
1799,2
24084,2
11951,1
2737,1
16765,1
19957,2
15682,2
16167,2
14561,1
7982,1
14732,2
19277,2
2645,2
12428,1
3071,2
16168,1
8560,1
17510,2
9500,2
17466,1
14385,2
777,1
18093,1
1685,2
7761,2
17495,1
8562,1
3165,2
15331,1
10744,1
6540,2
4741,1
21678,1
16467,2
2887,2
24457,1
6354,2
22054,2
18543,2
23688,1
16049,1
2447,1
16145,1
23252,1
15506,1
18287,2
15790,2
5769,2
8677,1
9108,1
18860,1
7930,2
1328,2
20634,1
20094,1
22484,1
24289,1
6444,1
21752,1
15616,1
9670,1
12382,2
17290,2
17299,1
12135,1
16025,1
21818,1
3251,2
1020,2
18692,1
14440,1
14872,2
591,1
6128,2
6511,2
17117,2
2440,2
19555,1
10174,1
575,2
2787,2
1474,2
1241,1
1091,1
15662,1
20573,1
13658,2
12337,2
23811,2
9560,1
7342,1
1270,1
659,2
3728,1
9087,1
4182,2
17807,1
13181,2
8612,1
19874,2
16944,1
23656,2
21353,1
2878,1
9401,2
4528,2
3296,2
4562,1
16379,2
8329,2
7752,1
19761,1
5166,1
4219,2
7617,1
533,1
13149,1
14037,1
10839,2
11650,2
13436,1
4429,1
1636,1
7890,1
11098,1
16015,1
465,2
6402,1
3602,1
13870,2
8768,1
139,2
5704,2
13311,2
4130,2
11581,1
20606,2
22182,2
16707,2
14667,1
22465,1
19850,1
24314,2
24365,2
14134,2
4820,2
19216,2
10832,1
73,2
18702,2
8047,2
10507,1
6974,1
5431,2
18424,2
5396,1
6620,2
22127,1
21568,2
15886,1
20062,2
8458,1
13641,1
14009,1
19177,2
17847,1
2928,1
19788,1
20536,2
21342,2
16504,1
16839,1
21670,2
3347,1
17525,1
14940,2
16517,1
15786,1
4886,2
19251,1
1559,2
15919,2
22965,2
14811,2
13845,1
15620,2
4243,1
5148,1
22080,1
10244,2
10380,2
22967,2
23877,2
461,2
14675,2
2395,1
16814,1
2932,2
21016,1
17058,2
7543,2
6971,2
7348,1
19426,2
5535,1
4139,2
11557,1
9671,2
22315,2
8679,1
13527,1
20639,1
14313,2
20080,2
806,2
10363,2
18655,2
10808,1
1315,2
12280,2
17696,2
6548,1
5707,2
17660,1
20946,1
393,1
23600,2
543,1
847,2
8158,2
11169,2
19253,2
13188,1
21787,2
4954,2
14657,2
525,2
3587,2
2397,2
19054,2
17958,2
24349,2
13567,1
1645,1
12897,1
18379,1
10465,2
2548,1
4928,1
10190,1
14676,2
3763,1
9381,1
6672,2
4643,2
2110,2
7272,1
17215,1
14963,2
17362,1
19205,2
5443,2
22514,1
20631,1
8122,1
1540,1
15025,2
6475,1
15883,1
14789,1
10752,1
5370,1
3229,2
11192,2
1015,1
718,2
20408,1
1075,2
16865,1
10862,2
2518,1
3541,2
1059,2
944,2
18047,1
13660,1
9156,2
14705,1
21865,2
9891,2
5469,1
9472,2
8249,2
14051,2
22810,1
15590,1
16484,1
14172,2
23370,2
1836,2
6960,2
17865,1
11176,2
4524,1
22459,2
4970,2
22241,1
23861,1
6975,1
19886,1
5181,2
21562,1
9277,2
3474,2
19868,2
6288,2
21688,1
5693,2
17612,2
9400,1
7867,2
15413,2
20282,2
10822,1
9061,2
474,2
18138,2
16244,2
6096,1
9252,2
22970,1
9082,1
2789,2
8398,1
22837,1
14013,2
4914,1
16013,1
18018,1
3864,1
5967,2
13987,1
14773,1
15323,2
9587,2
12499,1
16226,1
6516,1
15150,1
7407,2
21007,1
21182,1
6567,2
23909,2
21897,1
2677,2
9139,2
13705,1
2590,1
1936,1
7289,2
20962,2
8449,2
5577,2
23020,1
3573,1
18791,1
10723,2
975,1
24137,1
16979,1
11929,1
8853,1
13905,1
579,2
10605,1
15144,1
15905,1
3732,1
23798,1
7244,1
21356,1
6061,2
3413,1
21520,1
24770,1
3576,2
12669,2
4983,1
22024,1
20550,2
10313,1
12513,1
12820,1
18973,1
18520,1
9368,2
13738,2
3627,2
14615,1
22446,2
9544,2
1248,2
22137,2
4420,2
12234,1
7366,1
10466,2
1398,1
5012,1
17794,2
19438,1
13048,2
8823,2
20780,1
6049,1
19212,2
12138,2
523,2
10098,2
16977,2
21802,2
6682,2
3702,2
14397,1
14753,2
10733,1
11590,1
7718,2
2967,1
5015,2
10612,1
14354,1
5650,2
1175,1
20653,1
17222,1
22682,2
12641,1
3987,2
12587,2
11543,2
22384,1
16375,2
14860,1
14044,1
6759,2
18446,1
3139,2
14201,1
10965,2
15146,1
15624,2
13678,1
20254,2
10847,2
3517,1
16861,2
14714,1
21188,2
4616,1
11720,1
8656,2
8710,2
5564,1
23356,1
6208,1
10953,2
15960,2
1234,1
11422,1
3565,2
15205,2
4475,1
16770,2
92,1
9875,2
15505,2
18563,2
20307,2
6627,2
13713,2
4426,1
7642,1
9337,1
3710,1
20035,2
3437,1
7587,1
22131,2
13329,1
2203,2
15836,2
3175,1
7535,1
4246,1
15350,2
4505,1
11481,1
20779,1
11870,1
2223,2
725,1
11245,2
8340,1
14650,1
13121,1
11346,1
5043,1
9913,2
6638,1
23361,1
2869,1
22651,1
3898,1
13407,2
18724,2
3132,1
15117,1
6017,1
23511,2
14237,1
11896,2
19336,2
19227,2
20848,1
8794,1
9371,2
24172,1
15701,2
353,1
23723,2
19114,1
8292,2
831,2
18246,2
6508,1
7133,1
1917,1
454,1
16172,2
3049,2
22159,1
3087,2
9813,1
892,1
10811,1
3899,1
23856,2
9146,1
6022,2
12189,2
8572,2
1974,2
16124,2
4602,1
2221,1
9630,1
13491,1
4680,1
8225,1
16705,2
6083,1
11471,1
21486,1
21901,1
6900,2
14623,2
2436,1
9732,1
5912,1
1707,1
16129,2
14155,2
19477,1
14455,1
19122,2
10450,1
633,2
6192,1
9375,1
7965,1
13633,2
11047,2
2411,1
2986,2
6923,1
18247,1
14226,2
7894,2
6447,1
2443,1
5818,1
2278,2
12156,2
7645,2
17841,1
8990,2
1335,1
13718,1
13304,2
18750,2
3640,2
224,1
21336,1
11363,1
18999,2
12661,2
11193,2
2068,1
9550,2
22084,2
4936,1
2084,1
11873,1
14189,2
1427,1
414,1
14413,2
19879,1
9214,1
312,1
18982,2
4199,2
16985,2
12002,1
13307,1
19905,1
7248,1
8103,2
16797,1
13502,1
7231,1
19249,2
18933,1
9740,2
24645,1
15792,1
10488,2
8763,2
17845,1
19839,1
17830,1
1736,1
4138,1
6646,1
231,2
3266,2
12529,1
4614,2
1587,1
22029,1
20059,1
13312,2
20691,1
17275,2
23753,2
11280,1
212,2
12668,2
18380,1
22686,2
13544,2
13036,2
18849,2
18790,2
17065,1
10238,2
17721,1
11874,1
13727,2
3446,1
18420,1
15874,2
14026,1
8700,2
14239,2
4811,1
22242,2
3322,1
1442,1
21850,1
22634,1
14716,1
14883,1
18720,1
11274,1
1329,1
20633,2
9537,1
14291,2
10402,2
18413,2
19193,2
19397,2
22124,1
16662,1
5923,1
11614,2
15409,2
14924,1
19871,1
6129,2
13673,1
14373,2
19724,1
6416,2
13451,1
489,1
7813,2
23248,2
21140,1
15818,1
8695,1
10122,1
2274,2
19714,1
18382,2
2071,2
13321,1
6397,1
23401,1
15845,1
8396,2
24643,1
5741,1
18924,2
23363,2
23033,2
6498,2
15744,1
24173,1
8920,1
3329,1
10001,1
1438,2
2808,2
21745,1
8236,2
3824,1
20492,1
22022,1
10780,1
15789,2
23291,2
3929,2
9486,1
16418,1
10776,1
11582,2
7711,2
5146,1
9018,1
23484,2
7614,2
14353,1
7970,1
23237,1
6506,1
19758,1
15408,2
21832,2
439,1
1755,2
22769,2
17574,1
16364,2
12725,2
17826,1
23044,2
5237,2
55,1
19399,2
9462,1
8690,2
11577,1
16882,2
23328,1
19951,1
5861,2
5097,2
10292,1
21812,2
15806,2
12903,2
16823,2
20224,1
24078,1
18756,2
2494,2
8635,2
10759,1
2822,1
4804,2
11791,2
16712,1
23154,2
12149,1
15894,2
3618,1
18539,1
5600,2
7582,2
8203,2
12734,2
1475,1
9996,1
17028,1
16253,2
8220,1
760,2
24136,2
12269,1
21412,2
8648,1
6521,1
14604,2
14935,2
23951,1
437,1
22368,1
8464,1
13642,1
13840,2
5383,2
18239,1
20556,2
6993,1
7574,1
9493,2
15261,2
15072,2
18738,1
19764,2
6732,2
8180,1
23278,2
9815,2
1652,1
10569,1
20292,1
19818,1
9578,2
4282,1
14689,2
24068,2
1193,1
9419,2
7973,1
18149,1
14082,2
6044,1
11677,2
4679,1
17670,2
22671,2
10613,2
20878,1
23631,1
3220,1
15511,1
5322,2
5775,2
17490,2
842,2
16999,2
7163,2
16680,2
8570,2
23564,1
316,1
9038,1
7929,2
3424,1
9535,2
13362,1
17108,2
13438,1
24219,2
12762,2
4396,1
14625,2
4843,2
19757,2
22783,2
10084,1
617,2
360,1
10669,2
22406,2
24069,1
5244,1
14794,2
6763,2
8144,2
7220,2
6325,2
9193,1
8977,1
7270,1
23917,1
7987,1
11757,1
8170,2
6990,2
19402,1
20040,2
16099,2
12478,1
19636,1
22474,2
24133,1
22802,1
6747,2
1609,1
13746,2
3068,2
2195,2
20249,1
11712,2
23353,1
23740,1
10478,1
24624,2
16518,2
12548,2
6657,2
13001,1
22235,2
23095,1
21030,2
6852,2
3827,1
7694,1
19086,2
2910,2
15114,2
10080,1
3707,1
16769,2
12405,2
7588,2
11987,1
5201,1
9161,2
5386,2
4813,2
13977,2
3811,1
19268,2
20129,2
15534,2
4305,1
90,2
22225,1
21080,1
12013,1
18340,1
16485,1
14357,2
13039,2
7822,1
15608,2
19900,1
16325,2
4015,1
6811,2
24565,1
6160,1
16818,2
23481,1
8360,1
7653,1
8513,2
19089,2
3601,1
17331,1
24507,2
3875,1
9311,2
4775,2
19161,1
1339,2
5375,2
9572,1
12977,2
8093,2
17733,1
8682,2
14014,2
22207,1
19849,2
24792,2
21309,1
8653,1
9915,1
18268,1
11079,1
4941,2
8020,1
2510,2
7116,2
7045,1
22121,2
20655,2
786,2
17614,1
24454,1
10160,1
12869,2
24031,2
22745,2
22420,1
18361,1
22718,1
4943,2
9296,2
7158,2
15838,2
15802,2
21245,2
1960,1
13120,2
6122,2
22773,2
3367,2
8268,1
20454,1
12474,1
2306,1
23772,1
8078,2
20927,1
18871,2
2694,2
2056,1
13996,1
3479,1
4790,1
8415,1
9623,2
1026,1
6329,1
15777,2
6745,1
21088,2
22269,1
16643,2
24465,1
11622,1
18178,1
9127,1
8924,2
1461,2
10476,2
11883,1
18649,2
12794,2
23978,1
10490,2
24694,1
20299,2
4929,2
10777,2
913,1
2503,2
22897,1
3498,2
18071,1
2680,1
19692,1
10354,2
4194,2
2944,2
11445,1
10957,2
5312,2
9280,2
18594,2
478,2
18776,1
2554,2
12091,1
17024,2
21856,1
9825,2
264,1
10085,2
11610,1
1346,1
2707,2
15392,2
14170,2
23264,1
1649,2
16008,1
10778,1
19258,1
17561,1
17252,2
14758,1
10806,2
15549,2
3757,2
4799,1
12418,2
11556,1
15382,2
22957,2
6836,1
5210,2
1389,2
15134,1
2768,2
8886,2
9094,1
4767,2
10104,1
4049,2
24574,2
4974,1
2776,2
6313,2
22977,1
11333,2
7541,1
7383,2
5519,2
15362,1
11822,2
4586,2
22019,2
14786,2
15275,1
1583,1
14859,1
22938,1
914,1
10365,2
18442,1
11904,1
23644,2
8317,1
23744,2
12914,1
11397,2
7912,2
10119,1
20344,1
22869,1
23309,1
19102,2
1353,1
19413,2
13197,1
18965,2
17791,1
15685,1
3820,2
11313,2
12477,1
3124,1
17726,2
10753,2
17085,2
3529,1
10598,2
19966,1
1374,2
20993,2
6687,1
7349,2
17713,1
11910,2
15108,2
5055,2
1164,1
7808,1
6201,2
22610,1
21299,1
3218,1
19781,2
4904,2
11949,2
8456,1
13534,1
1638,1
24443,2
335,1
19199,2
5447,1
6358,2
12309,1
13529,2
3279,2
16097,2
14674,2
14064,1
15234,1
8625,2
6025,1
3607,1
8813,2
1968,1
15842,2
15526,2
22152,2
235,2
5502,1
22756,1
3401,2
9329,1
18348,1
12388,1
53,1
21170,1
22922,1
308,2
24059,2
15088,2
5780,2
11244,2
14478,2
2784,1
16374,2
9961,1
15966,2
11860,2
17144,1
22626,2
6484,1
18505,1
12965,2
22258,1
11210,1
6226,2
11180,1
22608,1
5686,2
7575,2
20922,1
16098,2
5179,2
1503,1
10871,2
12407,2
12858,1
21783,2
20765,1
8127,2
21817,2
11702,1
961,1
22490,1
6873,1
1584,2
15398,2
16889,2
1313,1
5011,2
22307,1
21758,2
7052,1
21290,1
12510,2
5507,1
379,1
6063,2
6533,1
22146,1
23233,1
16699,2
9106,2
20003,1
4155,2
15940,1
20549,2
8429,1
14721,2
4758,1
20141,2
18637,1
18085,1
10399,1
9128,2
22289,2
14792,1
11045,1
5441,1
2591,1
8323,2
3697,2
18696,2
19683,1
19642,2
587,1
12813,2
6584,1
4579,1
21103,2
20142,1
5268,1
4447,2
7939,1
20132,2
20297,2
20608,1
21045,2
23093,1
1200,2
10556,1
19064,2
8173,2
22472,1
20383,2
9579,1
1984,2
19626,2
8754,2
21912,2
16308,1
7716,1
22000,2
22060,2
14366,1
12109,1
16348,1
7638,1
5172,1
17836,1
24012,2
18767,2
15985,1
11189,2
19139,1
16421,1
17184,1
12201,2
24519,1
1713,2
8162,1
2176,1
22295,1
21301,2
6987,2
18063,1
9847,1
22407,2
799,1
21304,1
5420,1
18546,1
23552,1
15952,1
9656,1
1789,1
16604,1
12618,1
8922,1
409,1
23742,1
6432,2
1418,2
17078,2
6382,1
13976,1
4665,1
17977,2
20013,2
15004,1
3372,2
5259,1
7033,2
9397,2
2330,2
17674,2
15851,2
8786,2
10805,1
13202,2
8946,1
24251,2
10461,1
19914,1
18521,1
6794,2
165,1
12960,2
11818,1
24320,1
7445,2
727,2
2470,1
7753,1
6544,2
9477,1
14809,1
6742,1
7345,1
9817,2
4534,1
16716,1
267,1
10349,2
10268,2
16043,2
14192,2
13504,2
18480,1
5802,1
618,1
7951,2
18551,1
15955,2
5757,1
6598,2
16247,1
6676,1
6056,2
11143,2
22389,1
10188,2
14651,2
13597,2
2971,2
17357,1
18981,1
15145,1
1429,2
13540,2
18408,2
14950,2
23434,2
21111,2
24114,1
10021,1
8014,1
17607,2
13523,2
7313,1
23176,2
9291,1
1508,1
9384,2
2794,2
24411,1
4463,2
23458,2
18639,2
8132,1
13921,1
23620,1
5593,1
14970,2
10971,2
3334,2
18571,1
3357,1
5892,1
12454,1
4858,2
10114,1
20169,2
19493,2
12344,2
8789,1
13359,1
8759,2
17470,2
4749,2
13412,2
6367,2
10996,1
17075,1
12292,2
20541,1
6249,2
5323,1
2696,2
13539,2
